"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Mimoso de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Minaçu";"97,30";"96,9";"99,8";"99,90";"99,9";"99,9";"99,8";"99,9";"100";"99,92";"100"
"Percentual da População Atendida com Água (%)";"Mineiros";"[1]";"[1]";"[1]";"[1]";" -   ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Moiporá";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Monte Alegre de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Montes Claros de Goiás";"89,80";"94,9";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Montividiu";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Montividiu do Norte";"87,30";"86,8";"90,0";"90,10";"89,7";"89,8";"89,5";"89,6";"100";"89,84";"89,83"
"Percentual da População Atendida com Água (%)";"Morrinhos";"99,00";"99,0";"99,0";"99,00";"99";"99";"99";"99";"100";"99,06";"99,04"
"Percentual da População Atendida com Água (%)";"Morro Agudo de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Mossâmedes";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Mozarlândia";"81,40";"81,0";"81,4";"81,40";"79,4";"78,4";"77,9";"77,6";"100";"77,56";"77,71"
"Percentual da População Atendida com Água (%)";"Mundo Novo";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Mutunópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Nazário";"96,20";"96,3";"96,8";"96,60";"96,4";"96,3";"96";"95,9";"100";"95,42";"95,05"
"Percentual da População Atendida com Água (%)";"Nerópolis";"96,00";"96,4";"96,3";"96,60";"96,6";"96,1";"95,7";"95,6";"100";"94,75";"93,98"
"Percentual da População Atendida com Água (%)";"Niquelândia";"89,20";"90,2";"100,0";"100,00";"100";"99,5";"99,2";"97,9";"100";"97,83";"98,13"
"Percentual da População Atendida com Água (%)";"Nova América";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Nova Aurora";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Nova Crixás";"89,80";"83,9";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Nova Glória";"85,70";"85,7";"85,7";"85,70";"85,7";"85,7";"85,7";"100";"100";"99,98";"100"
"Percentual da População Atendida com Água (%)";"Nova Iguaçu de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Nova Roma";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
